trigger,step,loss,clean_loss,backdoor_loss
AT2,0011000,0.0790,0.0869,0.0068
AT2,0011100,0.0787,0.0869,0.0061
AT2,0011200,0.0786,0.0866,0.0064
AT2,0011300,0.0795,0.0874,0.0062
AT2,0011400,0.0789,0.0869,0.0068
AT2,0011500,0.0791,0.0874,0.0069
AT2,0011600,0.0789,0.0871,0.0062
AT2,0011700,0.0790,0.0870,0.0067
AT2,0011800,0.0785,0.0864,0.0062
AT2,0011900,0.0782,0.0863,0.0059
AT2,0012000,0.0784,0.0865,0.0068
AT2,0012100,0.0786,0.0864,0.0068
AT2,0012200,0.0788,0.0864,0.0061
AT2,0012300,0.0793,0.0873,0.0059
AT2,0012400,0.0783,0.0866,0.0059
AT2,0012500,0.0783,0.0864,0.0061
AT2,0012600,0.0791,0.0871,0.0073
AT2,0012700,0.0787,0.0870,0.0064
AT2,0012800,0.0780,0.0860,0.0064
AT2,0012900,0.0787,0.0867,0.0058
AT2,0013000,0.0790,0.0870,0.0061
AT2,0013100,0.0787,0.0868,0.0063
AT2,0013200,0.0785,0.0865,0.0064
AT2,0013300,0.0783,0.0867,0.0060
AT2,0013400,0.0791,0.0869,0.0074
AT2,0013500,0.0788,0.0869,0.0063
AT2,0013600,0.0784,0.0863,0.0057
AT2,0013700,0.0789,0.0869,0.0062
AT2,0013800,0.0793,0.0875,0.0060
AT2,0013900,0.0786,0.0867,0.0061
AT2,0014000,0.0789,0.0869,0.0060
AT2,0014100,0.0783,0.0864,0.0061
AT2,0014200,0.0786,0.0864,0.0065
AT2,0014300,0.0782,0.0863,0.0057
AT2,0014400,0.0785,0.0869,0.0054
AT2,0014500,0.0785,0.0869,0.0067
AT2,0014600,0.0787,0.0869,0.0056
AT2,0014700,0.0785,0.0865,0.0054
AT2,0014800,0.0786,0.0870,0.0055
AT2,0014900,0.0787,0.0869,0.0054
AT2,0015000,0.0787,0.0867,0.0058
AT3,0000100,0.1277,0.0909,0.4589
AT3,0000200,0.1015,0.0888,0.2186
AT3,0000300,0.0927,0.0877,0.1372
AT3,0000400,0.0908,0.0881,0.1144
AT3,0000500,0.0889,0.0878,0.0987
AT3,0000600,0.0875,0.0881,0.0827
AT3,0000700,0.0862,0.0875,0.0732
AT3,0000800,0.0858,0.0882,0.0641
AT3,0000900,0.0849,0.0879,0.0577
AT3,0001000,0.0840,0.0878,0.0506
AT3,0001100,0.0833,0.0875,0.0461
AT3,0001200,0.0828,0.0873,0.0424
AT3,0001300,0.0830,0.0876,0.0403
AT3,0001400,0.0826,0.0876,0.0367
AT3,0001500,0.0826,0.0879,0.0346
AT3,0001600,0.0821,0.0874,0.0331
AT3,0001700,0.0816,0.0874,0.0308
AT3,0001800,0.0822,0.0881,0.0292
AT3,0001900,0.0817,0.0879,0.0268
AT3,0002000,0.0813,0.0874,0.0269
AT3,0002100,0.0817,0.0879,0.0243
AT3,0002200,0.0813,0.0877,0.0245
AT3,0002300,0.0809,0.0874,0.0217
AT3,0002400,0.0811,0.0878,0.0206
AT3,0002500,0.0810,0.0881,0.0198
AT3,0002600,0.0806,0.0875,0.0193
AT3,0002700,0.0810,0.0876,0.0214
AT3,0002800,0.0802,0.0872,0.0173
AT3,0002900,0.0807,0.0877,0.0186
